dtype,group_size,zero_point,kv_e4m3,act_e4m3,input_length,output_length,e2e_latency,time_to_first_token,inter_token_latency
int4,128,no,yes,no,256,1024,5.142647589,0.026637235,0.004999923
int4,128,no,yes,no,256,2048,10.563770764,0.026552022,0.005147720
int4,128,no,yes,no,512,256,1.309446538,0.046926477,0.004950658
int4,128,no,yes,no,512,512,2.595696966,0.046922102,0.004987478
int4,128,no,yes,no,512,1024,5.240634210,0.046903637,0.005077306
int4,128,no,yes,no,512,2048,10.742322653,0.046907009,0.005224935
int4,128,no,yes,no,1024,256,1.401204543,0.090126351,0.005140862
int4,128,no,yes,no,1024,512,2.728252761,0.090130256,0.005161684
int4,128,no,yes,no,1024,1024,5.435832445,0.090313976,0.005225161
int4,128,no,yes,no,1024,2048,11.091470473,0.090171541,0.005374179
int4,128,no,yes,no,2048,256,1.571975756,0.183320371,0.005445537
int4,128,no,yes,no,2048,512,2.974550025,0.183228632,0.005461782
int4,128,no,yes,no,2048,1024,5.832738661,0.183501208,0.005521989
int4,128,no,yes,no,2048,2048,11.785518104,0.183428544,0.005667588
int4,128,yes,no,no,256,256,1.306335021,0.025374466,0.005022611
int4,128,yes,no,no,256,512,2.655393074,0.025399072,0.005146728
int4,128,yes,no,no,256,1024,5.540573943,0.025599371,0.005390974
int4,128,yes,no,no,256,2048,12.048812198,0.025598869,0.005873585
int4,128,yes,no,no,512,256,1.390020726,0.046356789,0.005269008
int4,128,yes,no,no,512,512,2.801548079,0.046376096,0.005391370
int4,128,yes,no,no,512,1024,5.810614178,0.046242399,0.005634595
int4,128,yes,no,no,512,2048,12.577842685,0.046208896,0.006121823
int4,128,yes,no,no,1024,256,1.557149446,0.089218930,0.005756616
int4,128,yes,no,no,1024,512,3.092840559,0.089247412,0.005878063
int4,128,yes,no,no,1024,1024,6.356148519,0.089377383,0.006125849
int4,128,yes,no,no,1024,2048,13.619224019,0.089360763,0.006609644
int4,128,yes,no,no,2048,256,1.897320460,0.181705644,0.006726753
int4,128,yes,no,no,2048,512,3.679830613,0.181583571,0.006845904
int4,128,yes,no,no,2048,1024,7.437982172,0.181678558,0.007093056
int4,128,yes,no,no,2048,2048,15.672509224,0.181732417,0.007567413
int4,128,yes,yes,no,256,256,1.281772412,0.026457939,0.004923390
int4,128,yes,yes,no,256,512,2.557812703,0.026462964,0.004953585
int4,128,yes,yes,no,256,1024,5.185993606,0.026716735,0.005042769
int4,128,yes,yes,no,256,2048,10.644214898,0.026629074,0.005186711
int4,128,yes,yes,no,512,256,1.319775195,0.047001154,0.004990966
int4,128,yes,yes,no,512,512,2.619924224,0.047031660,0.005034908
int4,128,yes,yes,no,512,1024,5.280170341,0.047049187,0.005115559
int4,128,yes,yes,no,512,2048,10.826709681,0.047160061,0.005266016
int4,128,yes,yes,no,1024,256,1.411964986,0.090490926,0.005180720
int4,128,yes,yes,no,1024,512,2.747484331,0.090510150,0.005199434
int4,128,yes,yes,no,1024,1024,5.482141252,0.090530756,0.005270454
int4,128,yes,yes,no,1024,2048,11.170670326,0.090498106,0.005412896
int4,128,yes,yes,no,2048,256,1.583210894,0.184231851,0.005484920
int4,128,yes,yes,no,2048,512,2.996243690,0.184211683,0.005503075
int4,128,yes,yes,no,2048,1024,5.873106134,0.184158528,0.005561113
int4,128,yes,yes,no,2048,2048,11.866725573,0.184256776,0.005707281
int4,64,no,no,no,256,256,1.322730370,0.025260882,0.005087615
int4,64,no,no,no,256,512,2.688933305,0.025275782,0.005212401
int4,64,no,no,no,256,1024,5.607839555,0.025450629,0.005456862
int4,64,no,no,no,256,2048,12.181198360,0.025401562,0.005938401
int4,64,no,no,no,512,256,1.406864158,0.046115413,0.005335260
int4,64,no,no,no,512,512,2.834556412,0.045987085,0.005457203
int4,64,no,no,no,512,1024,5.878700592,0.046102673,0.005701491
int4,64,no,no,no,512,2048,12.706208430,0.046131805,0.006184674
int4,64,no,no,no,1024,256,1.573637303,0.089129411,0.005821544
int4,64,no,no,no,1024,512,3.127259271,0.089056163,0.005943233
int4,64,no,no,no,1024,1024,6.421735254,0.089130507,0.006190171
int4,64,no,no,no,1024,2048,13.749604699,0.089177202,0.006673567
int4,64,no,no,no,2048,256,1.912546542,0.181116247,0.006790545
int4,64,no,no,no,2048,512,3.711144170,0.181332427,0.006908194
int4,64,no,no,no,2048,1024,7.501709358,0.181136572,0.007156125
int4,64,no,no,no,2048,2048,15.765042557,0.181222769,0.007612849
int4,64,no,yes,no,256,256,1.297293013,0.026682499,0.004982653
int4,64,no,yes,no,256,512,2.590751178,0.026744127,0.005017458
int4,64,no,yes,no,256,1024,5.247281636,0.026606618,0.005103149
int4,64,no,yes,no,256,2048,10.783937488,0.026636951,0.005255086
int4,64,no,yes,no,512,256,1.336920971,0.047216144,0.005057971
int4,64,no,yes,no,512,512,2.654860680,0.047058560,0.005103910
int4,64,no,yes,no,512,1024,5.346820868,0.047118939,0.005180699
int4,64,no,yes,no,512,2048,10.961004314,0.047048311,0.005331772
int4,64,no,yes,no,1024,256,1.428082374,0.090402924,0.005246259
int4,64,no,yes,no,1024,512,2.781482677,0.090246933,0.005266660
int4,64,no,yes,no,1024,1024,5.544960549,0.090345850,0.005332049
int4,64,no,yes,no,1024,2048,11.306522007,0.090575692,0.005479081
int4,64,no,yes,no,2048,256,1.599689660,0.183926948,0.005551491
int4,64,no,yes,no,2048,512,3.028184804,0.183605452,0.005566193
int4,64,no,yes,no,2048,1024,5.941028557,0.184159693,0.005627605
int4,64,no,yes,no,2048,2048,11.999003165,0.184153944,0.005771668
int4,64,yes,no,no,256,256,1.338504749,0.025295017,0.005149603
int4,64,yes,no,no,256,512,2.721141060,0.025294912,0.005275223
int4,64,yes,no,no,256,1024,5.670372060,0.025492951,0.005517907
int4,64,yes,no,no,256,2048,12.309825836,0.025485038,0.006001058
int4,64,yes,no,no,512,256,1.422705414,0.046278323,0.005397637
int4,64,yes,no,no,512,512,2.866313302,0.046104723,0.005518861
int4,64,yes,no,no,512,1024,5.939670171,0.046306415,0.005760880
int4,64,yes,no,no,512,2048,12.845497936,0.046247778,0.006252703
int4,64,yes,no,no,1024,256,1.591634443,0.089579431,0.005890286
int4,64,yes,no,no,1024,512,3.161744151,0.089427690,0.006012481
int4,64,yes,no,no,1024,1024,6.488226361,0.089574790,0.006254269
int4,64,yes,no,no,1024,2048,13.886842178,0.089649379,0.006740228
int4,64,yes,no,no,2048,256,1.929631324,0.182299687,0.006852904
int4,64,yes,no,no,2048,512,3.744795723,0.182145499,0.006971732
int4,64,yes,no,no,2048,1024,7.570846337,0.182308843,0.007222636
int4,64,yes,no,no,2048,2048,15.936509901,0.182476223,0.007696265
int4,64,yes,yes,no,256,256,1.312821668,0.026631838,0.005043464
int4,64,yes,yes,no,256,512,2.625627431,0.026787684,0.005085170
int4,64,yes,yes,no,256,1024,5.312245978,0.026837007,0.005166578
int4,64,yes,yes,no,256,2048,10.914584915,0.026827512,0.005318833
int4,64,yes,yes,no,512,256,1.353073741,0.047618524,0.005118903
int4,64,yes,yes,no,512,512,2.681701913,0.047372218,0.005155246
int4,64,yes,yes,no,512,1024,5.413308298,0.047377996,0.005245249
int4,64,yes,yes,no,512,2048,11.089768698,0.047476635,0.005394339
int4,64,yes,yes,no,1024,256,1.444890048,0.090836571,0.005310169
int4,64,yes,yes,no,1024,512,2.814567126,0.090760892,0.005330478
int4,64,yes,yes,no,1024,1024,5.610225501,0.090732090,0.005395402
int4,64,yes,yes,no,1024,2048,11.437707604,0.090944828,0.005543099
int4,64,yes,yes,no,2048,256,1.616642869,0.184814144,0.005615002
int4,64,yes,yes,no,2048,512,3.063581186,0.184814382,0.005633076
int4,64,yes,yes,no,2048,1024,6.006711910,0.184740570,0.005691286
int4,64,yes,yes,no,2048,2048,12.132677659,0.185121759,0.005836776
int4,32,no,no,no,256,256,1.377667704,0.025401180,0.005303048
int4,32,no,no,no,256,512,2.799387857,0.025459910,0.005428654
int4,32,no,no,no,256,1024,5.828019180,0.025611102,0.005672075
int4,32,no,no,no,256,2048,12.623487088,0.025632111,0.006154242
int4,32,no,no,no,512,256,1.461644945,0.046406095,0.005549244
int4,32,no,no,no,512,512,2.944365296,0.046270574,0.005670616
int4,32,no,no,no,512,1024,6.105007201,0.046298888,0.005922397
int4,32,no,no,no,512,2048,13.163262534,0.046267724,0.006407883
int4,32,no,no,no,1024,256,1.628969877,0.089071619,0.006037529
int4,32,no,no,no,1024,512,3.235354840,0.088958851,0.006157150
int4,32,no,no,no,1024,1024,6.640838443,0.089056703,0.006402885
int4,32,no,no,no,1024,2048,14.194843863,0.089214869,0.006890947
int4,32,no,no,no,2048,256,1.970197685,0.181431239,0.007014626
int4,32,no,no,no,2048,512,3.820642127,0.181136854,0.007121493
int4,32,no,no,no,2048,1024,7.722261638,0.181211038,0.007371578
int4,32,no,no,no,2048,2048,16.246373042,0.181265225,0.007848317
int4,32,no,yes,no,256,256,1.354038587,0.026725540,0.005205502
int4,32,no,yes,no,256,512,2.705397381,0.026603579,0.005242260
int4,32,no,yes,no,256,1024,5.474273792,0.026744938,0.005324969
int4,32,no,yes,no,256,2048,11.228677374,0.026684847,0.005472361
int4,32,no,yes,no,512,256,1.391743405,0.047108468,0.005272237
int4,32,no,yes,no,512,512,2.765054875,0.047200611,0.005317240
int4,32,no,yes,no,512,1024,5.570171457,0.047239246,0.005398579
int4,32,no,yes,no,512,2048,11.407562655,0.047309091,0.005549628
int4,32,no,yes,no,1024,256,1.484882038,0.090380100,0.005467971
int4,32,no,yes,no,1024,512,2.892081672,0.090335479,0.005483138
int4,32,no,yes,no,1024,1024,5.767213636,0.090445270,0.005549395
int4,32,no,yes,no,1024,2048,11.753927007,0.090421824,0.005697219
int4,32,no,yes,no,2048,256,1.654949342,0.183700241,0.005768721
int4,32,no,yes,no,2048,512,3.139110826,0.183790116,0.005783654
int4,32,no,yes,no,2048,1024,6.164206421,0.184074389,0.005845593
int4,32,no,yes,no,2048,2048,12.444545833,0.183652548,0.005989659
int4,32,yes,no,no,256,256,1.409039773,0.026009907,0.005423167
int4,32,yes,no,no,256,512,2.859386606,0.026056037,0.005544450
int4,32,yes,no,no,256,1024,5.946151868,0.026083473,0.005787092
int4,32,yes,no,no,256,2048,12.859539047,0.025963578,0.006269440
int4,32,yes,no,no,512,256,1.491942389,0.046785825,0.005667465
int4,32,yes,no,no,512,512,3.004290164,0.046683981,0.005788005
int4,32,yes,no,no,512,1024,6.215870724,0.046694493,0.006030500
int4,32,yes,no,no,512,2048,13.378474182,0.046865899,0.006512329
int4,32,yes,no,no,1024,256,1.660367192,0.090194658,0.006156739
int4,32,yes,no,no,1024,512,3.296626045,0.089982573,0.006273088
int4,32,yes,no,no,1024,1024,6.761251701,0.090184994,0.006521384
int4,32,yes,no,no,1024,2048,14.431993862,0.090154489,0.007006272
int4,32,yes,no,no,2048,256,1.998402731,0.183636080,0.007116218
int4,32,yes,no,no,2048,512,3.878731923,0.183157130,0.007231857
int4,32,yes,no,no,2048,1024,7.843251601,0.183196603,0.007488188
int4,32,yes,no,no,2048,2048,16.446996779,0.183611506,0.007944892
int4,32,yes,yes,no,256,256,1.381713788,0.027211619,0.005311537
int4,32,yes,yes,no,256,512,2.761730398,0.027226727,0.005351158
int4,32,yes,yes,no,256,1024,5.585633354,0.027296443,0.005433345
int4,32,yes,yes,no,256,2048,11.459114568,0.027229695,0.005584797
int4,32,yes,yes,no,512,256,1.421721776,0.047903157,0.005387321
int4,32,yes,yes,no,512,512,2.819940422,0.047954283,0.005424650
int4,32,yes,yes,no,512,1024,5.684243050,0.047928276,0.005509609
int4,32,yes,yes,no,512,2048,11.633055833,0.047941378,0.005659162
int4,32,yes,yes,no,1024,256,1.513948753,0.091739217,0.005578640
int4,32,yes,yes,no,1024,512,2.951071932,0.091588858,0.005595724
int4,32,yes,yes,no,1024,1024,5.885301979,0.091675139,0.005663447
int4,32,yes,yes,no,1024,2048,11.982002101,0.091648672,0.005808728
int4,32,yes,yes,no,2048,256,1.685682292,0.186032585,0.005882089
int4,32,yes,yes,no,2048,512,3.200507516,0.185995179,0.005898954
int4,32,yes,yes,no,2048,1024,6.284117077,0.186101287,0.005960667
int4,32,yes,yes,no,2048,2048,12.681256267,0.185927482,0.006104185
e2m1,16,no,no,no,256,256,1.385864320,0.025493231,0.005334803
e2m1,16,no,no,no,256,512,2.816258678,0.025615656,0.005460709
e2m1,16,no,no,no,256,1024,5.860682121,0.025704266,0.005703828
e2m1,16,no,no,no,256,2048,12.689470916,0.025727423,0.006186391
e2m1,16,no,no,no,512,256,1.470308583,0.046532568,0.005582982
e2m1,16,no,no,no,512,512,2.961753565,0.046642966,0.005704510
e2m1,16,no,no,no,512,1024,6.130550472,0.046682960,0.005947018
e2m1,16,no,no,no,512,2048,13.205253419,0.046750529,0.006428076
e2m1,16,no,no,no,1024,256,1.636767237,0.090044958,0.006065154
e2m1,16,no,no,no,1024,512,3.250928697,0.089846632,0.006186111
e2m1,16,no,no,no,1024,1024,6.668134719,0.089902514,0.006430177
e2m1,16,no,no,no,1024,2048,14.234790456,0.089912787,0.006909867
e2m1,16,no,no,no,2048,256,1.976014974,0.182713451,0.007031284
e2m1,16,no,no,no,2048,512,3.839422688,0.182446579,0.007156284
e2m1,16,no,no,no,2048,1024,7.756028982,0.182520976,0.007403166
e2m1,16,no,no,no,2048,2048,16.308638858,0.182841036,0.007877592
e2m1,16,no,yes,no,256,256,1.359651112,0.027187783,0.005225123
e2m1,16,no,yes,no,256,512,2.717550850,0.027359141,0.005264265
e2m1,16,no,yes,no,256,1024,5.496973247,0.027310305,0.005346671
e2m1,16,no,yes,no,256,2048,11.279177227,0.027234133,0.005496800
e2m1,16,no,yes,no,512,256,1.399425803,0.047843267,0.005300130
e2m1,16,no,yes,no,512,512,2.775024179,0.047683328,0.005336923
e2m1,16,no,yes,no,512,1024,5.595740040,0.048058507,0.005423110
e2m1,16,no,yes,no,512,2048,11.455411329,0.047816470,0.005572817
e2m1,16,no,yes,no,1024,256,1.491110546,0.091243399,0.005488666
e2m1,16,no,yes,no,1024,512,2.906318787,0.091303315,0.005509183
e2m1,16,no,yes,no,1024,1024,5.796379509,0.091566036,0.005576477
e2m1,16,no,yes,no,1024,2048,11.809256494,0.091591825,0.005724160
e2m1,16,no,yes,no,2048,256,1.662503203,0.185094516,0.005794381
e2m1,16,no,yes,no,2048,512,3.155358560,0.185104656,0.005812037
e2m1,16,no,yes,no,2048,1024,6.193999178,0.185451894,0.005873329
e2m1,16,no,yes,no,2048,2048,12.505750847,0.185442912,0.006018476
int8,128,no,no,no,256,256,2.177405273,0.030083641,0.008420641
int8,128,no,no,no,256,512,4.397284242,0.030365923,0.008546034
int8,128,no,no,no,256,1024,9.018685703,0.030464628,0.008785946
int8,128,no,no,no,256,2048,18.988423158,0.030490280,0.009261407
int8,128,no,no,no,512,256,2.262237084,0.051812416,0.008668746
int8,128,no,no,no,512,512,4.542777580,0.051719994,0.008788552
int8,128,no,no,no,512,1024,9.287515801,0.051970026,0.009026293
int8,128,no,no,no,512,2048,19.501364633,0.051830799,0.009501463
int8,128,no,no,no,1024,256,2.430731589,0.098115156,0.009147073
int8,128,no,no,no,1024,512,4.832885449,0.097877802,0.009265981
int8,128,no,no,no,1024,1024,9.819297493,0.098259271,0.009502567
int8,128,no,no,no,1024,2048,20.526525947,0.098245962,0.009979175
int8,128,no,no,no,2048,256,2.770245816,0.194566907,0.010100147
int8,128,no,no,no,2048,512,5.415192877,0.194274900,0.010216432
int8,128,no,no,no,2048,1024,10.903305601,0.194728026,0.010470376
int8,128,no,no,no,2048,2048,22.557480768,0.194696167,0.010924729
int8,128,no,yes,no,256,256,2.151655736,0.031310953,0.008315062
int8,128,no,yes,no,256,512,4.299647897,0.031388327,0.008352440
int8,128,no,yes,no,256,1024,8.661855332,0.031385663,0.008436364
int8,128,no,yes,no,256,2048,17.606631394,0.031317087,0.008585808
int8,128,no,yes,no,512,256,2.192143803,0.052851849,0.008390085
int8,128,no,yes,no,512,512,4.359573484,0.052880025,0.008427756
int8,128,no,yes,no,512,1024,8.760473431,0.052833927,0.008511755
int8,128,no,yes,no,512,2048,17.781246255,0.052975029,0.008660857
int8,128,no,yes,no,1024,256,2.286506754,0.099516220,0.008576034
int8,128,no,yes,no,1024,512,4.492863772,0.099148593,0.008598216
int8,128,no,yes,no,1024,1024,8.963918283,0.099665402,0.008664416
int8,128,no,yes,no,1024,2048,18.131401128,0.099602034,0.008808945
int8,128,no,yes,no,2048,256,2.461344673,0.197233636,0.008878881
int8,128,no,yes,no,2048,512,4.743696529,0.197301868,0.008897662
int8,128,no,yes,no,2048,1024,9.363799418,0.197428335,0.008959685
int8,128,no,yes,no,2048,2048,18.829409488,0.197744419,0.009101903
int8,64,no,no,no,256,256,2.204940000,0.030356538,0.008526953
int8,64,no,no,no,256,512,4.451971118,0.030626366,0.008652337
int8,64,no,no,no,256,1024,9.128038046,0.030743565,0.008892499
int8,64,no,no,no,256,2048,19.207741520,0.030707326,0.009368392
int8,64,no,no,no,512,256,2.289405951,0.052210360,0.008773452
int8,64,no,no,no,512,512,4.597195985,0.052102864,0.008893995
int8,64,no,no,no,512,1024,9.395352634,0.052247740,0.009133044
int8,64,no,no,no,512,2048,19.742355998,0.052204150,0.009619012
int8,64,no,no,no,1024,256,2.458448669,0.098796057,0.009253417
int8,64,no,no,no,1024,512,4.888489568,0.098680636,0.009373110
int8,64,no,no,no,1024,1024,9.936784904,0.098719819,0.009616726
int8,64,no,no,no,1024,2048,20.773812355,0.099080685,0.010099808
int8,64,no,no,no,2048,256,2.800758586,0.196461607,0.010213226
int8,64,no,no,no,2048,512,5.472856401,0.195901594,0.010326007
int8,64,no,no,no,2048,1024,11.018177119,0.196083658,0.010578818
int8,64,no,no,no,2048,2048,22.784845137,0.196209447,0.011035002
int8,64,no,yes,no,256,256,2.179771681,0.031562930,0.008423844
int8,64,no,yes,no,256,512,4.355263773,0.031744514,0.008460855
int8,64,no,yes,no,256,1024,8.772296744,0.031732580,0.008543975
int8,64,no,yes,no,256,2048,17.826812732,0.031796462,0.008693243
int8,64,no,yes,no,512,256,2.220215232,0.053245498,0.008498129
int8,64,no,yes,no,512,512,4.415363936,0.053306003,0.008536077
int8,64,no,yes,no,512,1024,8.871122506,0.053365684,0.008619559
int8,64,no,yes,no,512,2048,18.004347781,0.053603035,0.008769381
int8,64,no,yes,no,1024,256,2.314416969,0.100054923,0.008683480
int8,64,no,yes,no,1024,512,4.547784994,0.100247728,0.008703345
int8,64,no,yes,no,1024,1024,9.071920969,0.100167355,0.008770044
int8,64,no,yes,no,1024,2048,18.350641038,0.100350010,0.008915447
int8,64,no,yes,no,2048,256,2.490306141,0.198448309,0.008987682
int8,64,no,yes,no,2048,512,4.800594891,0.198633989,0.009006438
int8,64,no,yes,no,2048,1024,9.474267785,0.198471921,0.009066915
int8,64,no,yes,no,2048,2048,19.042135030,0.198704831,0.009205496
int8,32,no,no,no,256,256,2.262937604,0.034470801,0.008738817
int8,32,no,no,no,256,512,4.564493534,0.034856051,0.008864169
int8,32,no,no,no,256,1024,9.347472929,0.034616285,0.009103236
int8,32,no,no,no,256,2048,19.643269086,0.034787869,0.009579196
int8,32,no,no,no,512,256,2.351802277,0.060372177,0.008986131
int8,32,no,no,no,512,512,4.713443847,0.060369829,0.009105253
int8,32,no,no,no,512,1024,9.620474506,0.060632861,0.009344790
int8,32,no,no,no,512,2048,20.160509605,0.060574018,0.009819176
int8,32,no,no,no,1024,256,2.526508530,0.112963094,0.009464351
int8,32,no,no,no,1024,512,5.009978580,0.113065355,0.009583040
int8,32,no,no,no,1024,1024,10.159799597,0.113008725,0.009820858
int8,32,no,no,no,1024,2048,21.217256797,0.113239988,0.010309594
int8,32,no,no,no,2048,256,2.879854511,0.223248125,0.010417540
int8,32,no,no,no,2048,512,5.607259822,0.223405122,0.010536069
int8,32,no,no,no,2048,1024,11.258525318,0.223087028,0.010789586
int8,32,no,no,no,2048,2048,23.233856982,0.223660521,0.011241100
int8,32,no,yes,no,256,256,2.238135830,0.035780655,0.008637078
int8,32,no,yes,no,256,512,4.468092207,0.035819913,0.008673647
int8,32,no,yes,no,256,1024,8.993766868,0.035842580,0.008756295
int8,32,no,yes,no,256,2048,18.263303332,0.035814066,0.008904306
int8,32,no,yes,no,512,256,2.283075249,0.061537016,0.008711672
int8,32,no,yes,no,512,512,4.532264631,0.061475224,0.008748775
int8,32,no,yes,no,512,1024,9.100876762,0.061423723,0.008836407
int8,32,no,yes,no,512,2048,18.446551357,0.061545637,0.008981415
int8,32,no,yes,no,1024,256,2.383364499,0.114672024,0.008895276
int8,32,no,yes,no,1024,512,4.671656890,0.114224360,0.008917287
int8,32,no,yes,no,1024,1024,9.304737600,0.114636557,0.008983579
int8,32,no,yes,no,1024,2048,18.803755563,0.114811539,0.009130054
int8,32,no,yes,no,2048,256,2.572636777,0.226481878,0.009199030
int8,32,no,yes,no,2048,512,4.936487023,0.226205274,0.009216900
int8,32,no,yes,no,2048,1024,9.718113380,0.226413826,0.009278263
int8,32,no,yes,no,2048,2048,19.506977360,0.226214718,0.009419007
e4m3,,no,no,no,256,256,2.176122975,0.029550056,0.008418031
e4m3,,no,no,no,256,512,4.394534200,0.029555967,0.008542057
e4m3,,no,no,no,256,1024,9.024367810,0.029524567,0.008792679
e4m3,,no,no,no,256,2048,19.015700150,0.029513734,0.009275054
e4m3,,no,no,no,512,256,2.261035219,0.051166623,0.008665942
e4m3,,no,no,no,512,512,4.545202911,0.051230131,0.008794221
e4m3,,no,no,no,512,1024,9.289362153,0.051136928,0.009030528
e4m3,,no,no,no,512,2048,19.513191920,0.051036569,0.009507633
e4m3,,no,no,no,1024,256,2.432097423,0.096286100,0.009160219
e4m3,,no,no,no,1024,512,4.838510137,0.096288268,0.009280155
e4m3,,no,no,no,1024,1024,9.836267499,0.096358637,0.009520957
e4m3,,no,no,no,1024,2048,20.564619997,0.096298331,0.009999143
e4m3,,no,no,no,2048,256,2.771459977,0.190992350,0.010119334
e4m3,,no,no,no,2048,512,5.422786108,0.190830976,0.010238712
e4m3,,no,no,no,2048,1024,10.910579598,0.190922238,0.010478659
e4m3,,no,no,no,2048,2048,22.605223116,0.190782073,0.010949631
e4m3,,no,yes,no,256,256,2.148409005,0.031096566,0.008303282
e4m3,,no,yes,no,256,512,4.293655172,0.031098571,0.008341109
e4m3,,no,yes,no,256,1024,8.656473525,0.031000273,0.008431488
e4m3,,no,yes,no,256,2048,17.604061080,0.030911210,0.008584855
e4m3,,no,yes,no,512,256,2.189651096,0.052311432,0.008381919
e4m3,,no,yes,no,512,512,4.354329783,0.052173838,0.008418785
e4m3,,no,yes,no,512,1024,8.752145017,0.052197193,0.008504308
e4m3,,no,yes,no,512,2048,17.773796055,0.052158366,0.008657469
e4m3,,no,yes,no,1024,256,2.284007675,0.097702056,0.008573964
e4m3,,no,yes,no,1024,512,4.490329993,0.097704819,0.008596199
e4m3,,no,yes,no,1024,1024,8.959290734,0.097725395,0.008662505
e4m3,,no,yes,no,1024,2048,18.140205225,0.097774126,0.008814070
e4m3,,no,yes,no,2048,256,2.459556819,0.194030262,0.008884284
e4m3,,no,yes,no,2048,512,4.743977606,0.194027821,0.008903922
e4m3,,no,yes,no,2048,1024,9.363675453,0.194203490,0.008962910
e4m3,,no,yes,no,2048,2048,18.848420704,0.193847804,0.009112902
e4m3,,no,no,yes,256,256,2.569937242,0.025720600,0.009977663
e4m3,,no,no,yes,256,512,5.189291858,0.025681292,0.010104916
e4m3,,no,no,yes,256,1024,10.615891957,0.025654079,0.010352335
e4m3,,no,no,yes,256,2048,22.151590741,0.025612442,0.010808837
e4m3,,no,no,yes,512,256,2.648781599,0.040414131,0.010228138
e4m3,,no,no,yes,512,512,5.326773199,0.040375059,0.010345169
e4m3,,no,no,yes,512,1024,10.857988495,0.040384350,0.010574263
e4m3,,no,no,yes,512,2048,22.615901237,0.040324208,0.011028566
e4m3,,no,no,yes,1024,256,2.795767170,0.067844695,0.010693898
e4m3,,no,no,yes,1024,512,5.589030717,0.067937604,0.010804207
e4m3,,no,no,yes,1024,1024,11.354018478,0.067840077,0.011032264
e4m3,,no,no,yes,1024,2048,23.608174293,0.067791698,0.011499898
e4m3,,no,no,yes,2048,256,3.087976279,0.126130467,0.011616062
e4m3,,no,no,yes,2048,512,6.122288477,0.126281866,0.011733909
e4m3,,no,no,yes,2048,1024,12.374461797,0.126073314,0.011972934
